Question,Answer
What does NUST stand for?,National University of Sciences and Technology.
"How many constituent colleges, schools, and centres does NUST comprise?","21 constituent colleges, schools, and centres."
How many undergraduate programmes does NUST offer?,43 undergraduate programmes.
How many MS programmes does NUST offer?,73 MS programmes.
How many PhD programmes does NUST offer?,54 PhD programmes.
What is NUST's vision?,"To be a comprehensive university providing a higher education experience grounded in thought leadership, co-creation of knowledge, and sustainability."
Name one core value of NUST.,"Integrity, Pursuit of Excellence, Inspiring Partnerships, Diversity/Equity/Inclusion, or Sustainability."
What is the minimum duration of most MS programmes?,1.5 years.
What is the maximum duration of most MS programmes?,4 years.
What is the minimum duration of a PhD programme?,3 years.
What is the maximum duration of a PhD programme?,8 years.
How many regular semesters are required at minimum for a Master degree?,Three regular semesters.
What is a Minor Test (Quiz)?,"A short test conducted frequently during the semester, often without prior notice."
What is an End Semester Examination (ESE)?,The final comprehensive examination conducted at the completion of a course.
Who evaluates a thesis?,A Graduate Evaluation Committee (GEC).
When is the examination schedule normally published?,At least two weeks before the End Semester Examination.
How late can a student join an examination?,Not more than 30 minutes after it starts.
When can a student leave the examination room?,Not within the first hour of the examination.
What attendance percentage is required to sit in the final examination?,At least 75% attendance.
What grade is awarded due to shortage of attendance?,XF grade.
What are the grade points for an A grade?,4.00 grade points.
What are the grade points for a B+ grade?,3.50 grade points.
What are the grade points for a C grade?,2.00 grade points.
What is the minimum CGPA required for a Master degree?,3.00 CGPA.
What is the minimum CGPA required for a PhD degree?,3.50 CGPA.
Within how many weeks can courses be added or dropped in a regular semester?,Within the first two weeks.
By which week can a registered course be dropped in a regular semester?,By the 8th week.
How many courses can a Master's student take at another NUST institution?,Up to two courses.
Can answer books be reassessed after evaluation?,"No, answer books are not reassessed."
What is a Certificate of High Achiever awarded for?,Securing a CGPA of 4.0 in an MS research-based programme.
What minimum thesis grade is required for a Master's degree?,At least a B grade in the thesis.
What is the minimum semester credit load for an MS student?,6 credit hours.
What is the maximum semester credit load for an MS student?,12 credit hours.
Can a student take new courses in the summer semester?,"No, summer enrollment is only for course repetition."
What CGPA is required before opting for a coursework-based MS degree?,At least 3.0 CGPA.
When is an MS student placed on probation?,When CGPA is below 3.0 but at least 2.0.
After how many consecutive days of absence can registration be suspended?,30 or more consecutive days.
How many courses may be repeated for CGPA improvement in MS?,Up to three courses.
Can grades be improved after degree completion?,No.
What tuition fee percentage is paid during deferment?,25% tuition fee.
How many thesis credits are required in a Master's programme?,A minimum of 6 thesis credits.
After how many completed credit hours can MS research begin?,After completing 9 credit hours with CGPA 3.0 or above.
How many members should a GEC have besides the supervisor?,At least two members.
What internship duration is required for MBA students?,6–8 weeks.
What is the minimum grade needed to earn course credits in postgraduate programmes?,C grade.
When is an MBA/MS student placed on probation under Business & Social Sciences rules?,When CGPA is below 3.0 but at least 2.5.
How many postgraduate credits can normally be transferred into an MS programme?,Up to 9 credits.
How many postgraduate credits can be transferred into MBA/EMBA?,Up to 12 credits.
How many PhD coursework credits are required?,A minimum of 18 credit hours.
What minimum marks are required in each written PhD qualifying exam paper?,65% marks.
How many doctoral research credits are required for a PhD?,At least 30 credits.
